service_request_id,requested_datetime,updated_datetime,source,service_name,description,agency_responsible,address,council_district,status_description,lat,long
5088907,7/1/2018 1:38,,UNKNOWN,ALLEY POTHOLE,"ALLEY POTHOLE, POTHL",LPM,"4305 W BROADWAY , LOUISVILLE, KY, 40211",5,OPEN,38.25079053,-85.82442137
5088879,7/1/2018 1:40,,UNKNOWN,STREET TREE,"STREET EASEMENT TREES, OBSTRUCTION, ROWOB",LPM,"4305 W BROADWAY , LOUISVILLE, KY, 40211",5,OPEN,38.25079053,-85.82442137
5088846,7/1/2018 6:28,,UNKNOWN,HIGH GRASS WEEDS,"HIGH GRASS, WEEDS, TREES, PRIVATE PROPERTY",IPL-PROPERTY MAINTENANCE DIV.,"7310 MARIA AVE , LOUISVILLE, KY, 40222",7,CLOSED,38.28150083,-85.61903372
5080683,7/1/2018 7:33,,UNKNOWN,TRASH PVT PROP,"TRASH PRIVATE PROPERTY, TRASH, GARBAGE, JUNK",IPL-PROPERTY MAINTENANCE DIV.,"921 DENMARK ST , LOUISVILLE, KY, 40215",15,CLOSED,38.19592179,-85.77589976
5080684,7/1/2018 7:38,,UNKNOWN,TRASH PVT PROP,"TRASH PRIVATE PROPERTY, TRASH, GARBAGE, JUNK",IPL-PROPERTY MAINTENANCE DIV.,"921 W EVELYN AVE , LOUISVILLE, KY, 40215",15,CLOSED,38.19684588,-85.77600965
5080685,7/1/2018 7:51,,UNKNOWN,DAMAGE GARB CART,"DAMAGED GARBAGE CART, CARTD, SWMS",SWMS - ADMINISTRATION,"263 SAUNDERS AVE , LOUISVILLE, KY, 40206",9,OPEN,38.24961106,-85.70355086
5080686,7/1/2018 8:16,,UNKNOWN,EXTERIOR VIOL,"EXTERIOR STRUCTURE VIOLATION, EXTVI",IPL-PROPERTY MAINTENANCE DIV.,"3601 TEMPLEWOOD DR , LOUISVILLE, KY, 40219",2,CLOSED,38.1636348,-85.69504909
5080687,7/1/2018 8:29,,UNKNOWN,EXTERIOR VIOL,"EXTERIOR STRUCTURE VIOLATION, EXTVI",IPL-PROPERTY MAINTENANCE DIV.,"3601 FRIAR TUCK CT , LOUISVILLE, KY, 40219",2,CLOSED,38.16537274,-85.69641941
5088890,7/1/2018 9:35,,UNKNOWN,SIGN OBSTRUCTION,"SIGN OBSTRUCTION, TREES, BRANCHES, ETC. ROWOB",LPM,"2101 LAUDERDALE RD , LOUISVILLE, KY, 40205",8,CLOSED,38.22841108,-85.69521648
5088891,7/1/2018 9:40,,UNKNOWN,LIGHTING REPAIR,"LIGHTING REPAIR, STREET LIGHT, STLGT",PUBLIC WORKS ADMINISTRATION,"988 GOSS AVE , LOUISVILLE, KY, 40217",10,CLOSED,38.22801186,-85.7370678
5080693,7/1/2018 12:29,,UNKNOWN,HIGH GRASS WEEDS,"HIGH GRASS, WEEDS, TREES, PRIVATE PROPERTY",IPL-PROPERTY MAINTENANCE DIV.,"4302 SHERMAN AVE , LOUISVILLE, KY, 40213",10,CLOSED,38.19344827,-85.71364353
5080694,7/1/2018 12:31,,UNKNOWN,TRASH PVT PROP,"TRASH PRIVATE PROPERTY, TRASH, GARBAGE, JUNK",IPL-PROPERTY MAINTENANCE DIV.,"4302 SHERMAN AVE , LOUISVILLE, KY, 40213",10,CLOSED,38.19344827,-85.71364353
5080695,7/1/2018 12:54,,UNKNOWN,ZONING CONCERNS,"ZONING, ILLEGAL BUSINESS OR SIGNS ON PRIVATE PROPERTY, ILSGN, ZONE",IPL-PROPERTY MAINTENANCE DIV.,"2122 EDGEHILL RD , LOUISVILLE, KY, 40205",8,CLOSED,38.22996556,-85.69521258
